Week,Date,Campaign,AdSet,Ad,Indicator,ActionKey,AmountSpent,Results,CostPerResult,Impressions
,2025-11-29,Mess FB_051125,ITR-2255-HCM-Perfume,MILK & MATCHA – TƯƠI TẮN VÀ TRẺ TRUNG MÀ KHÔNG CẦN CỐ_New,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,480,0,,2
,2025-11-29,Mess FB_051125,ITR-2255-HCM-Luxury Brand,"THIS BLACK FRIDAY, DRESS IN THE INVISIBLE",actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,129,0,,1
,2025-11-29,Mess FB_051125,ITR-2255-HCM-Perfume,"THIS BLACK FRIDAY, DRESS IN THE INVISIBLE",actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,9813,0,,41
,2025-11-29,Mess FB_051125,ITR-2255-HCM-Luxury Brand,VDO_V1_251125_MILK & MATCHA – TƯƠI TẮN VÀ TRẺ TRUNG MÀ KHÔNG CẦN CỐ,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,35330,1,35330,194
,2025-11-29,Mess FB_051125,ITR-2255-HCM-Luxury Brand,"VDO_V1_251125_WHITE CRUSH - TỪ SẠCH SẼ ĐẾN ẤM ÁP, SỰ LẤP LÁNH CỦA HƯƠNG THƠM",actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,134063,9,"14895,89",767
,2025-11-29,Impression FB_041125,Distric focus_22-45_U,"THIS BLACK FRIDAY, DRESS IN THE INVISIBLE",reach,reach,78675,11757,"6691,76",11757
,2025-11-29,Visit IG_041125,Distric focus_22-45_U,"THIS BLACK FRIDAY, DRESS IN THE INVISIBLE",profile_visit_view,profile_visit_view,183933,81,"2270,78",3537
,2025-11-29,Mess FB_051125,ITR-2255-HCM-Perfume,"SGI_V1_251125_THIS BLACK FRIDAY, DRESS IN THE INVISIBLE - Copy",actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,1848,0,,3
,2025-11-29,Mess FB_051125,ITR-2255-VN-BF Focus,SGI_V1_271125_GIẢM NGAY 10% CƠ HỘI DUY NHẤT TRONG NĂM,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,42666,0,,373
,2025-11-29,Visit IG_041125,Distric focus_22-45_U,CRS_V1_271125_GIẢM NGAY 10% CƠ HỘI DUY NHẤT TRONG NĂM,profile_visit_view,profile_visit_view,144794,48,"3016,54",2247
,2025-11-29,Impression FB_041125,Distric focus_22-45_U,GIẢM NGAY 10% CƠ HỘI DUY NHẤT TRONG NĂM,reach,reach,322,52,"6192,31",52
,2025-11-29,Impression FB_041125,Distric focus_22-45_U,BÙNG NỔ GOURMAND CHO BLACK FRIDAY,reach,reach,25784,3601,"7160,23",3601
,2025-11-29,Mess FB_051125,ITR-2255-HCM-Perfume,GIẢM NGAY 10% CƠ HỘI DUY NHẤT TRONG NĂM - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,286,0,,3
,2025-11-29,Mess FB_051125,ITR-2255-HCM-Luxury Brand,GIẢM NGAY 10% CƠ HỘI DUY NHẤT TRONG NĂM - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,1904,0,,22
,2025-11-30,Mess FB_051125,ITR-2255-HCM-Perfume,DIRTY MILK — THIS IS NOT YOUR MORNING MILK_New,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,320,0,,8
,2025-11-30,Mess FB_051125,ITR-2255-HCM-Perfume,DIRTY MILK — THIS IS NOT YOUR MORNING MILK_New - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,84862,4,"21215,5",1337
,2025-11-30,Mess FB_051125,ITR-2255-HCM-Perfume,MILK & MATCHA – TƯƠI TẮN VÀ TRẺ TRUNG MÀ KHÔNG CẦN CỐ_New,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,60423,0,,324
,2025-11-30,Mess FB_051125,ITR-2255-HCM-Luxury Brand,VDO_V1_251125_MILK & MATCHA – TƯƠI TẮN VÀ TRẺ TRUNG MÀ KHÔNG CẦN CỐ,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,6443,0,,46
,2025-11-30,Mess FB_051125,ITR-2255-HCM-Luxury Brand,"VDO_V1_251125_WHITE CRUSH - TỪ SẠCH SẼ ĐẾN ẤM ÁP, SỰ LẤP LÁNH CỦA HƯƠNG THƠM",actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,129172,4,32293,685
,2025-11-30,Impression FB_041125,Distric focus_22-45_U,"THIS BLACK FRIDAY, DRESS IN THE INVISIBLE",reach,reach,6765,990,"6833,33",1014
,2025-11-30,Visit IG_041125,Distric focus_22-45_U,"THIS BLACK FRIDAY, DRESS IN THE INVISIBLE",profile_visit_view,profile_visit_view,42472,15,"2831,47",995
,2025-11-30,Visit IG_041125,Distric focus_22-45_U,CRS_V1_271125_GIẢM NGAY 10% CƠ HỘI DUY NHẤT TRONG NĂM,profile_visit_view,profile_visit_view,61779,16,"3861,19",706
,2025-11-30,Impression FB_041125,Distric focus_22-45_U,GIẢM NGAY 10% CƠ HỘI DUY NHẤT TRONG NĂM,reach,reach,225,34,"6617,65",34
,2025-11-30,Impression FB_041125,Distric focus_22-45_U,BÙNG NỔ GOURMAND CHO BLACK FRIDAY,reach,reach,19133,2827,"6767,95",2926
,2025-12-01,Mess FB_051125,ITR-2255-HCM-Perfume,DIRTY MILK — THIS IS NOT YOUR MORNING MILK_New,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,118446,4,"29611,5",3869
,2025-12-01,Mess FB_051125,ITR-2255-HCM-Perfume,DIRTY MILK — THIS IS NOT YOUR MORNING MILK_New - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,53660,2,26830,1187
