Week,Date,Campaign,AdSet,Ad,Indicator,ActionKey,AmountSpent,Results,CostPerResult,Impressions
,2025-12-05,Mess FB_051125,ITR-2255-HCM-Perfume,"WHITE CRUSH - TỪ SẠCH SẼ ĐẾN ẤM ÁP, SỰ LẤP LÁNH CỦA HƯƠNG THƠM",actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,1061,0,,11
,2025-12-05,Visit IG_041125,Distric focus_22-45_U,GIÁNG SINH NGỌT NGÀO HƯƠNG GOURMAND CÙNG BORNTOSTANDOUT®,profile_visit_view,profile_visit_view,32744,23,"1423,65",664
,2025-12-05,Visit IG_041125,Distric focus_22-45_U,CÙNG .Oddity THẮP SÁNG MÙA LỄ HỘI THEO CÁCH RIÊNG,profile_visit_view,profile_visit_view,5773,4,"1443,25",125
,2025-12-05,Impression FB_041125,Distric focus_22-45_U,"NEW NOTES – NEW EXPERIENCE, CHẠM TAY MÙA LỄ HỘI",reach,reach,6,1,6000,1
,2025-12-05,Mess FB_051125,ITR-2255-HCM-Luxury Brand,MAISON DE AMALRIC – KHI MÙI HƯƠNG TRỞ THÀNH NGHỆ THUẬT SỐNG,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,67,0,,1
,2025-12-05,Mess IG_051125,ITR-2255-HCM-Perfume,CRS_V1_051225_MAISON DE AMALRIC – KHI MÙI HƯƠNG TRỞ THÀNH NGHỆ THUẬT SỐNG,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,48,0,,2
,2025-12-05,Mess IG_051125,ITR-2255-HCM-Luxury Brand,CRS_V1_051225_MAISON DE AMALRIC – KHI MÙI HƯƠNG TRỞ THÀNH NGHỆ THUẬT SỐNG - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,69,0,,1
,2025-12-05,Visit IG_041125,Distric focus_22-45_U,"NEW NOTES – NEW EXPERIENCE, CHẠM TAY MÙA LỄ HỘI",profile_visit_view,profile_visit_view,1270,6,"211,67",24
,2025-12-06,Mess IG_051125,ITR-2255-HCM-Perfume,CRS_V1_121125_DIRTY MILK — THIS IS NOT YOUR MORNING MILK,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,395,0,,6
,2025-12-06,Mess IG_051125,ITR-2255-HCM-Luxury Brand,SGI_V2_121125_DIRTY MILK — THIS IS NOT YOUR MORNING MILK - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,3170,0,,40
,2025-12-06,Mess IG_051125,ITR-2255-HCM-Luxury Brand,CRS_V1_121125_DIRTY MILK — THIS IS NOT YOUR MORNING MILK - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,105623,1,105623,934
,2025-12-06,Mess IG_051125,ITR-2255-HCM-Luxury Brand,CRS_V1_151125_NGẬP TRÀN TRONG CƠN MÊ CHOCOLATE VỚI CHOCO LOCO - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,6251,0,,58
,2025-12-06,Mess IG_051125,ITR-2255-HCM-Luxury Brand,CRS_V2_151125_NGẬP TRÀN TRONG CƠN MÊ CHOCOLATE VỚI CHOCO LOCO - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,10634,0,,49
